unit,incgrp,age,sex,geo\time	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 
PC_POP,TOTAL,TOTAL,T,MK	: 	: 	: 	: 	: 	: 	55.2 	52.4 	50.5 	46.2 b	51.1 	: 
PC_POP,TOTAL,TOTAL,T,MT	3.8 	3.5 	4.2 	3.9 	3.8 	4.0 	4.4 	4.0 	3.6 	4.0 	3.5 	: 
PC_POP,TOTAL,TOTAL,T,NL	1.9 	1.8 	1.9 	1.7 	1.7 	2.0 	1.7 	2.5 	2.6 	3.5 	3.3 	: 
PC_POP,TOTAL,TOTAL,T,NO	5.8 	5.3 	5.3 	5.2 	5.0 	5.3 	5.1 	5.6 	6.0 	4.6 	5.2 	: 
PC_POP,TOTAL,TOTAL,T,PL	54.1 	54.1 	52.3 	50.8 	49.1 	47.5 	47.2 	46.3 	44.8 	44.2 	43.4 	: 
PC_POP,TOTAL,TOTAL,T,PT	16.5 	15.8 	16.1 	15.7 	14.1 	14.6 	11.0 	10.1 	11.4 	10.3 	10.3 	: 
PC_POP,TOTAL,TOTAL,T,RO	: 	: 	55.9 	54.8 	53.4 	52.0 	51.4 	51.6 	50.6 	49.4 	49.7 	: 
PC_POP,TOTAL,TOTAL,T,RS	: 	: 	: 	: 	: 	: 	: 	: 	54.3 	50.4 	53.4 	: 
PC_POP,TOTAL,TOTAL,T,SE	10.7 	10.7 	10.0 	10.1 	10.5 	11.1 	11.3 	10.8 	11.2 	10.7 	11.6 	: 
PC_POP,TOTAL,TOTAL,T,SI	42.0 	40.3 	39.9 	39.5 	38.0 	34.9 	17.1 b	16.6 	15.6 	14.8 	13.7 	: 
PC_POP,TOTAL,TOTAL,T,SK	46.6 	45.9 	43.3 	42.9 	39.7 	40.1 	39.5 	38.4 	39.8 	38.6 	37.8 	: 
PC_POP,TOTAL,TOTAL,T,TR	: 	51.5 	51.6 	50.6 	48.8 	47.4 	47.1 	46.0 	45.9 	: 	: 	: 
PC_POP,TOTAL,TOTAL,T,UK	5.7 	6.3 	6.2 	6.5 	7.2 	7.3 	7.1 	7.0 b	8.0 	7.3 	7.3 	: 
